 "41.29228609507841,-96.13565597639122","20 GRAND THEATRE"
 "41.29968585790584,-95.9471391393802","3-5-7 CLUB"
 "41.25233411408183,-95.99277336447615","3 HAPPINESS EXPRESS"
 "41.341188706099274,-95.9618038698257","3'S LOUNGE"
 "41.257542764154095,-95.93522890385987","801 CHOP HOUSE"
 "41.25977308278675,-95.94560708007799","ABRAHAM CATERING @ JOSLYN"
 "41.23420622095256,-95.91689718941717","ABRAHAM CATERING @ THE GARDENS"
 "41.25233537433842,-95.93945395849731","ABSOLUTELY FRESH SEAFOOD CO"
 "41.247586046784804,-96.0988398982472","ABSOLUTELY FRESH SEAFOOD CO"
 "41.2855324694856,-96.07178064315852","A CATERED AFFAIR"
 "41.22611811103945,-96.0816014910667","ACCESS 66 CATERING"
 "41.20665013051598,-96.13048070964118","ADDY'S GRILL"
 "41.27983415899784,-96.05247870670514","AFRICAN FARMS"
 "41.25236263594417,-95.9837255013099","A GIRLS BEST FRIEND"
 "41.23396811977316,-96.14099684747259","A HILL OF BEANS INC"
 "41.31303992658218,-95.96821603589461","A J ICE CREAM (seasonal)"
 "41.30232000799293,-95.95654283595428","ALDI FOODS"
 "41.21401557793598,-95.9584224189955","ALDI FOODS #41"
 "41.23578816426533,-96.12155943511056","ALDI FOODS #42"
 "41.29052989618879,-96.05277928630966","ALDI FOODS #75"
 "41.260689999643944,-95.94059000012828","ALEGENT HEALTH LAKESIDE HOSP"
 "41.35357237044275,-95.97382780535742","ALPINE INN"
 "41.237847611712425,-96.01230979499115","AMATO'S FOODS INC"
 "41.20298573632569,-96.13170859503782","AMAZING PIZZA MACHINE (THE)"
 "41.326601702784046,-96.06177250660267","AMCON DISTRIBUTING"
 "41.26596701145903,-96.08131760938885","AMERICAN BOTTLING COMPANY"
 "41.29957707580354,-95.97544658501016","AMES AVE CONVENIENCE"
 "41.26477331326964,-95.99024942561243","AMSTERDAM FALAFEL & KABON"
 "41.27791240811774,-95.8988243481138","ANCHOR INN (seasonal)"
 "41.23736197781659,-96.19535780083487","ANDERSON AMOCO FOOD SHOP"
 "41.227181652444926,-96.02388406950826","ANDERSON BP AMOCO"
 "41.2197442592626,-95.96894448673834","ANDY'S PLACE"
 "41.29231141726564,-96.11990916322665","APPLEBEE'S NEIGH BAR/GRILL"
 "41.232487652417774,-96.19721939743556","APPLEBEE'S NEIGH BAR/GRILL"
 "41.31527923843515,-96.02394702205032","APPLEBEE'S NEIGH BAR/GRILL"
 "41.25968315058378,-96.02886631355057","APPLEBEE'S NEIGH BAR/GRILL"
 "41.2283777507439,-96.13745045536825","APPLEBEE'S NEIGH BAR/GRILL"
 "41.311248844894294,-96.05245448872223","ARAMARK/CONAGRA"
 "41.21579623555397,-96.04895716768516","ARAMARK REFRESHMENT SERVICE"
 "41.25880181499508,-96.03961321180071","ARBORETUM ON FARNAM (THE)"
 "41.30072820800109,-96.02376715764444","ARBY'S ROAST BEEF REST"
 "41.263488146226564,-96.06993929033337","ARBY'S ROAST BEEF REST"
 "41.25967415736352,-95.97845931380829","ARBY'S ROAST BEEF REST"
 "41.229154416997,-96.1383808984178","ARBY'S ROAST BEEF REST"
 "41.208439781354286,-96.08142269294285","ARBY'S ROAST BEEF REST"
 "41.23419636427343,-96.18408030258746","ARBY'S ROAST BEEF REST"
 "41.23219087614808,-96.10074013013224","ARBY'S ROAST BEEF REST"
 "41.23422334393433,-96.04496417787504","ARBY'S ROAST BEEF REST"
 "41.23392656766464,-96.14166827568567","ARBY'S ROAST BEEF REST"
 "41.292236780421874,-96.12637721852595","ARBY'S ROAST BEEF REST"
 "41.24247012694303,-96.02397400171117","ARBY'S ROAST BEEF REST"
 "41.2902870792409,-96.05273432020817","ARBY'S ROAST BEEF REST"
 "41.24054192019026,-95.99569147097435","ARBY'S ROAST BEEF REST"
 "41.20394317120781,-96.13530107571825","ARBY'S ROAST BEEF REST"
 "41.21794229947523,-95.99040444786029","ARBY'S ROAST BEEF REST"
 "41.21972084596847,-96.04103869591822","ARCTIC GLACIER ICE CO"
 "41.294289062271275,-96.05259042868352","ARENA SPORTS BAR & GRILL"
 "41.25977834607053,-96.09107845385859","ARTHUR'S 4 SEASONS"
 "41.201703859354836,-95.94431205635578","ASSUMPTION SCHOOL"
 "41.25834316076015,-95.93718043266347","ATHENIAN GYROS"
 "41.20948213144948,-95.9475849645414","ATTITUDE ON FOOD"
 "41.229154416997,-96.1383808984178","AUNTIE ANNE'S - OAKVIEW MALL"
 "41.27985606430407,-96.02396739431924","AUSSIE'S PUB INC"
 "41.24871142182633,-96.07714192008342","AVP ENERGY #3 - SINCLAIR"
 "41.23298589018061,-96.17848790341061","BABY BLUE SUSHI SAKE GRILL"
 "41.260689999643944,-95.94059000012828","BAGEL BIN INC"
 "41.28602429282199,-96.08143168616317","BAG N SAVE"
 "41.27776561536755,-96.15799331196553","BAG N SAVE"
 "41.226983801598465,-95.99202109001016","BAG N SAVE"
 "41.20626342204338,-96.15546387561511","BAG N SAVE"
 "41.267374048156086,-96.0922054279087","BAG N SAVE"
 "41.28330735323411,-96.0527713030624","BAG N SAVE #8"
 "41.246753266953064,-96.10056784061096","BAILEY'S"
 "41.29854285546986,-96.02376715764444","BAKER'S #301"
 "41.23398052698644,-96.10163945216152","BAKER'S #302"
 "41.29225659448508,-96.119886696136","BAKER'S #315"
 "41.32651915990344,-95.95773457173222","BAKER'S #316"
 "41.235583988825105,-96.18645123272648","BAKER'S #320"
 "41.2635142624286,-96.15569769934274","BAKER'S #321"
 "41.256348891912964,-95.93319693587463","BAR 415"
 "41.26553773699453,-96.09098248611434","BARFLY"
 "41.28416269622136,-96.00838875094342","BARLEY STREET TAVERN"
 "41.22710071346228,-96.13282794013764","BARNES & NOBLE INC"
