 "41.25241662858707,-95.94798129023536","11 WORTH CAFÉ"
 "41.25470090654147,-95.93327737505626","13TH STREET COFFEE CO"
 "41.25245077800555,-95.94120967838933","20TH STREET LIQUOR & GROCERY"
 "41.211264770171915,-96.06210898622918","21ST AMENDMENT"
 "41.292003920858065,-96.1609901876007","7 MONKEYS"
 "41.309963593472105,-95.97766984552352","99 CENT GROCERY & VARIETY"
 "41.2897924521248,-96.05298613037638","ABELARDO'S MEXICAN FOOD"
 "41.20547201865759,-95.96102145966017","ABELARDO'S MEXICAN FOOD"
 "41.206749517945,-96.08150351629622","ABELARDO'S MEXICAN FOOD"
 "41.2650790827596,-95.99006956120655","A B'S DUNDEE 66"
 "41.23142192277632,-95.94225035597766","ADOBADO MEXICAN GRILL"
 "41.20184775087955,-95.95773893425326","AFOMA CORNER STORE"
 "41.2650790827596,-95.99081599849092","AGAVE"
 "41.25544734382578,-95.929554181855","AHMAD'S PERSIAN RESTAURANT"
 "41.23984199045801,-96.01470360888695","AKSARBEN CINEMA"
 "41.25238964892617,-95.96102145966017","ALDERMAN'S BAR"
 "41.267947920033066,-95.97353102908772","ALEXANDER'S BBQ CATERING"
 "41.28513396401303,-96.0266809610194","ALL NATIONS CLOTHING & GROCERIES"
 "41.25258749977263,-95.9470370021046","ALL NATIONS GROCERIES"
 "41.19571165749254,-96.00696245098113","AL VEYS YOUTH SPORTS COMPLEX"
 "41.22528408296307,-96.13193761132862","AMC OAKVIEW 24 THEATRES"
 "41.276951756253354,-95.94236981191607","AMERICAN G I FORUM"
 "41.26114005227129,-96.03701417113604","AMERICAN LEGION POST #1"
 "41.210364330496986,-95.94301703263358","AMERICAN LEGION POST #331"
 "41.25667941500592,-95.95984334780178","A MERRY OCCASION"
 "41.248684442165484,-96.10011959793201","ANDERSON AMOCO FOOD SHOP"
 "41.25909316445847,-96.09094969983065","ANDERSON AMOCO FOOD SHOP"
 "41.26240809633259,-96.1592230416976","ANDERSON AMOCO FOOD SHOP"
 "41.26248903531524,-96.09098248611434","ANDERSON FOOD SHOPS"
 "41.23453810664461,-96.13405101809752","ANDERSON STANDARD SERVICE"
 "41.25834316076015,-95.93718043266347","ANGELO'S ITALIANO"
 "41.219726272822015,-96.0251161406884","ANTHONYS RESTAURANT & LOUNGE"
 "41.233959749604615,-96.13925798933276","A PLUS BUFFET"
 "41.22841372362507,-96.01510668650229","APPLE VENDING"
