 "41.20709079831033,-96.15809888916101","ACKERMAN ELEM SCHOOL"
 "41.29057606221326,-96.03357145953242","ADAMS ELEM SCHOOL"
 "41.26448553022027,-96.16847706537914","ALDRICH ELEM SCHOOL"
 "41.253258671027396,-95.92508171749877","ARAMARK/CONAGRA"
 "41.33715095226073,-96.02654047382457","ARAMARK CORP"
 "41.256304330914986,-95.92732231549334","ARAMARK CORP"
 "41.20793301983462,-95.9930449192114","ASHLAND PARK/ROBBINS ELEM"
 "41.23368375071675,-95.92550723272313","BANCROFT SCHOOL CAFETERIA"
 "41.19561818314362,-96.19988216310044","BEADLE MIDDLE SCHOOL"
 "41.242317242198,-95.9854200663151","BEALS SCHOOL CAFETERIA"
 "41.260689999643944,-95.94059000012828","BENNINGTON ELEMENTRY"
 "41.260689999643944,-95.94059000012828","BENNINGTON HIGH SCHOOL"
 "41.28508086815003,-96.0157752406874","BENSON WEST SCH CAFETERIA"
 "41.24232623541832,-96.10070415725107","BEVERIDGE JR HIGH SCHOOL"
 "41.19228795770806,-96.165680173868","BLACK ELK ELEMENTARY"
 "41.29827305886107,-96.04237413043069","BOYD SCHOOL CAFETERIA"
 "41.260689999643944,-95.94059000012828","BOYS TOWN VISITORS CTR CAFE"
 "41.260689999643944,-95.94059000012828","BOYS TOWN WEGNER SCHOOL"
 "41.260689999643944,-95.94059000012828","BROWNELL TALBOT SCHOOL"
 "41.260689999643944,-95.94059000012828","BRYAN SCHOOL CAFETERIA"
 "41.17632503780603,-95.98437827305965","BRYAN SENIOR HIGH"
 "41.302354332721286,-96.13549664644341","BUFFETT MIDDLE SCHOOL"
 "41.260689999643944,-95.94059000012828","BURKE SR HIGH SCHOOL"
 "41.23798368647872,-95.93976244543708","CASTELAR ELEMENTARY"
 "41.238701967640225,-96.11325869278011","CATLIN MAGNET ELEM"
 "41.260420594647826,-95.94241448687399","CENTRAL HIGH SCH CAFETERIA"
 "41.260689999643944,-95.94059000012828","CHANDLER VIEW SCHOOL"
 "41.25690424551328,-96.11077656397924","COLUMBIAN ELEM SCHOOL"
 "41.253172059091696,-95.93815170045508","CORRECTIONAL FAC KITCHEN"
 "41.25450055463231,-96.15575848985597","COTTONWOOD ELEMENTARY"
 "41.25254153989655,-96.09458629909909","CRESTRIDGE MAGNET SCHOOL"
 "41.258648930250104,-95.93552568012956","DINING ROOM AT UPRR (THE)"
 "41.25693122517413,-95.978603205333","DR J P LORD SCH CAFETERIA"
 "41.261459071159834,-95.99515171627175","DUNDEE SCHOOL"
 "41.27999883522568,-96.06462335743555","EDISON ELEM SCHOOL"
 "41.28476626152898,-96.24008209848735","ELKHORN MIDDLE SCHOOL"
 "41.260689999643944,-95.94059000012828","ELKHORN RIDGE MIDDLE SCHOOL"
 "41.270550088374804,-96.23054353167502","ELKHORN SENIOR HIGH"
 "41.28652873695263,-96.23782371379056","ELKHORN WESTRIDGE ELEM"
 "41.27760577516898,-96.1337249689203","EZRA MILLARD ELEMENTARY"
 "41.24241616762123,-95.96495149692822","FIELD CLUB SCHOOL"
 "41.256648181145756,-96.22406622483801","FIRE RIDGE ELEM"
 "41.274658511536515,-95.96467188073203","FRANKLIN SCHOOL CAFETERIA"
 "41.30163946078686,-96.13026504751451","FULLERTON MAGNET CENTER"
 "41.23375213546148,-96.14130865579253","GENJI JAPANESE STEAKHOUSE"
 "41.2057508084867,-96.1074580656911","GEORGE NORRIS ELEM SCHOOL"
 "41.191271723814964,-96.19453042456792","GEORGIA WHEELER ELEMENTARY"
 "41.260689999643944,-95.94059000012828","GILDER SCHOOL CAFETERIA"
 "41.260689999643944,-95.94059000012828","GOMEZ ELEMENTARY"
 "41.271536214929995,-96.15806291627979","GRACE ABBOTT ELEMENTARY"
 "41.260689999643944,-95.94059000012828","GRETCHEN REEDER ELEMENTARY"
 "41.27229164543462,-95.99721917133951","HARRISON SCHOOL CAFETERIA"
 "41.19541759837006,-96.15376415697978","HARRY ANDERSEN MIDDLE SCHOOL"
 "41.30940666558382,-96.01418937803243","HARTMAN ELEMENTARY"
 "41.240480899938994,-96.1500933613545","HARVEY OAKS ELEMENTARY"
 "41.21943848977264,-96.1926238618658","HERMAN ROHWER ELEMENTARY"
 "41.195651422097626,-95.9526757512283","HIGHLAND ELEMENTARY"
 "41.289453381730745,-96.22764145857658","HILLRISE ELEMENTARY"
 "41.27053796747748,-96.02930698134492","HILLSIDE ELEMENTARY"
 "41.199482533942444,-96.07599978110619","HITCHCOCK ELEM SCHOOL"
 "41.25867730410725,-95.93193103826886","HOLLAND PERFORMING ARTS CENTER"
 "41.19411422315596,-96.12684769061059","HOLLING HEIGHTS ELEM SCHOOL"
 "41.260689999643944,-95.94059000012828","HORIZON HIGH SCHOOL"
